country_name,country_id
European Union - 27 countries (from 2020),1
"Euro area (EA11-1999, EA12-2001, EA13-2007, EA15-2008, EA16-2009, EA17-2011, EA18-2014, EA19-2015, EA20-2023)",2
Belgium,3
Région de Bruxelles-Capitale/Brussels Hoofdstedelijk Gewest,4
Vlaams Gewest,5
Région wallonne,6
Bulgaria,7
Severna i Yugoiztochna Bulgaria,8
Severozapaden,9
Severen tsentralen,10
Severoiztochen,11
Yugoiztochen,12
Yugozapadna i Yuzhna tsentralna Bulgaria,13
Yugozapaden,14
Yuzhen tsentralen,15
Czechia,16
Denmark,17
Danmark,18
Hovedstaden,19
Sjælland,20
Syddanmark,21
Midtjylland,22
Nordjylland,23
Germany,24
Estonia,25
Ireland,26
Greece,27
Spain,28
Noroeste,29
Galicia,30
Principado de Asturias,31
Cantabria,32
Noreste,33
País Vasco,34
Comunidad Foral de Navarra,35
La Rioja,36
Aragón,37
Comunidad de Madrid,38
Centro (ES),39
Castilla y León,40
Castilla-La Mancha,41
Extremadura,42
Este,43
Cataluña,44
Comunitat Valenciana,45
Illes Balears,46
Sur,47
Andalucía,48
Región de Murcia,49
Ciudad de Ceuta,50
Ciudad de Melilla,51
Canarias,52
France,53
Croatia,54
Hrvatska,55
Panonska Hrvatska,56
Jadranska Hrvatska,57
Grad Zagreb,58
Sjeverna Hrvatska,59
Italy,60
Cyprus,61
Latvia,62
Lithuania,63
Lietuva,64
Sostinės regionas,65
Vidurio ir vakarų Lietuvos regionas,66
Luxembourg,67
Hungary,68
Közép-Magyarország,69
Budapest,70
Pest,71
Dunántúl,72
Közép-Dunántúl,73
Nyugat-Dunántúl,74
Dél-Dunántúl,75
Alföld és Észak,76
Észak-Magyarország,77
Észak-Alföld,78
Dél-Alföld,79
Malta,80
Netherlands,81
Austria,82
Ostösterreich,83
Burgenland,84
Niederösterreich,85
Wien,86
Südösterreich,87
Kärnten,88
Steiermark,89
Westösterreich,90
Oberösterreich,91
Salzburg,92
Tirol,93
Vorarlberg,94
Poland,95
Portugal,96
Romania,97
Macroregiunea Unu,98
Nord-Vest,99
Centru,100
Macroregiunea Doi,101
Nord-Est,102
Sud-Est,103
Macroregiunea Trei,104
Sud-Muntenia,105
Bucureşti-Ilfov,106
Macroregiunea Patru,107
Sud-Vest Oltenia,108
Vest,109
Slovenia,110
Slovenija,111
Vzhodna Slovenija,112
Zahodna Slovenija,113
Slovakia,114
Slovensko,115
Bratislavský kraj,116
Západné Slovensko,117
Stredné Slovensko,118
Východné Slovensko,119
Finland,120
Sweden,121
Norway,122
Norge,123
Innlandet,124
Trøndelag,125
Nord-Norge,126
Oslo og Viken,127
Agder og Sør-Østlandet,128
Vestlandet,129
Bosnia and Herzegovina,130
Montenegro,131
Serbia,132
Türkiye,133
,134
not available,135
North Macedonia,136
Albania,137
Special value,138
