Country,Enterprise size,Sector,Lack of AI vendors tailored to enterprise (No),Lack of AI vendors tailored to enterprise (Yes),dimension_id
CAN,50-249,ICT,18 (60.0%),12 (40.0%),b29d789b-5830-42b7-a25a-fe0ce2b3c9b2
CAN,50-249,Manufacturing,13 (43.3%),17 (56.7%),96f96d3d-f060-4660-a414-9d56df8733cd
CAN,250+,ICT,20 (66.7%),10 (33.3%),64c4e389-a96e-4840-89fa-7e476c6f69ae
CAN,250+,Manufacturing,17 (56.7%),13 (43.3%),61d18ef3-16aa-4627-bb03-fbd93f34292f
DEU,50-249,ICT,12 (40.0%),18 (60.0%),affb05af-df20-4eac-a7ea-c695734228e5
DEU,50-249,Manufacturing,19 (63.3%),11 (36.7%),b6676f45-0515-4afc-8616-084d72ab8a87
DEU,250+,ICT,20 (66.7%),10 (33.3%),3ed6e3b7-32e1-435f-b0b3-b0fc3fc521d5
DEU,250+,Manufacturing,15 (50.0%),15 (50.0%),2d4bf52e-9dfe-47aa-ab0c-c0984c52a3b9
FRA,50-249,ICT,19 (63.3%),11 (36.7%),43c811b7-d10d-4ed4-a956-ad8401b541fc
FRA,50-249,Manufacturing,12 (40.0%),18 (60.0%),a454bdf2-fd20-4bc6-9698-0be5a65943a5
FRA,250+,ICT,20 (66.7%),10 (33.3%),d2de4bc7-94cc-45d8-9946-fc27a58416b0
FRA,250+,Manufacturing,15 (51.7%),14 (48.3%),38e61a98-b8a9-43f3-a4b8-753fbf1227d2
GBR,50-249,ICT,17 (56.7%),13 (43.3%),d8e040ac-a1d5-4c73-947c-5606e0475ec0
GBR,50-249,Manufacturing,17 (56.7%),13 (43.3%),21580d93-43cb-4c9b-9f9d-67f0b7ca8a19
GBR,250+,ICT,20 (66.7%),10 (33.3%),cd022efc-a849-4238-97ef-f871c6731c46
GBR,250+,Manufacturing,14 (46.7%),16 (53.3%),a9110ac8-41ac-4ff5-bbd3-468db2a57b83
ITA,50-249,ICT,14 (48.3%),15 (51.7%),3b261d4b-acf5-4522-a7c3-92e3c230c290
ITA,50-249,Manufacturing,19 (63.3%),11 (36.7%),66b7b01a-72e5-45ee-8ab9-601f4ea95bfa
ITA,250+,ICT,21 (70.0%),9 (30.0%),c96805dd-999a-4f39-a9a8-c011f4f10f77
ITA,250+,Manufacturing,19 (65.5%),10 (34.5%),a13f36d6-bc69-443f-8001-0568753912de
JPN,50-249,ICT,14 (46.7%),16 (53.3%),03d34ce4-a23c-40f4-b883-cb0fd2ad2d3d
JPN,50-249,Manufacturing,10 (33.3%),20 (66.7%),e9829bdd-3ba1-4f87-8d15-7c8cb5780e4e
JPN,250+,ICT,9 (30.0%),21 (70.0%),2e27454d-44e0-4626-94ad-79812710e1f6
JPN,250+,Manufacturing,17 (56.7%),13 (43.3%),d9d67be2-97af-4634-af6a-07a315a148cc
USA,50-249,ICT,22 (73.3%),8 (26.7%),6c765420-014d-439a-952f-2383f65ef6e5
USA,50-249,Manufacturing,14 (48.3%),15 (51.7%),3aece184-6de1-46f4-8f19-f255691ce6f5
USA,250+,ICT,22 (73.3%),8 (26.7%),390e1152-8cac-4db7-95ff-179d5e5143d5
USA,250+,Manufacturing,16 (53.3%),14 (46.7%),9813e672-2962-4a5f-8144-4268e4f80253
