Country,Enterprise size,Sector,The enterprise does not spend on R&D,dimension_id
CAN,50-249,ICT,0 (0.0%),6d1ea6a2-a3bf-4459-9aa9-870216a8874f
CAN,50-249,Manufacturing,0 (0.0%),43bb48d2-131f-442b-98a8-7e75ed1c574b
CAN,250+,ICT,1 (3.3%),34731381-a5b7-4ce8-abe1-91c4f1c644aa
CAN,250+,Manufacturing,0 (0.0%),33de5510-cd8d-4d2a-9d27-b17f3f3f1038
DEU,50-249,ICT,0 (0.0%),7f59e878-41ac-4a5c-8a79-d074d83cf150
DEU,50-249,Manufacturing,0 (0.0%),97a889f4-8335-41e4-aeb5-f1d224662b01
DEU,250+,ICT,0 (0.0%),145e7aa5-e41f-48ee-8d49-ca62e0f7869e
DEU,250+,Manufacturing,0 (0.0%),2aec7390-63b5-410f-aa29-1e608d51c11c
FRA,50-249,ICT,0 (0.0%),86419be7-6ae2-435b-a7e9-770e483901a2
FRA,50-249,Manufacturing,0 (0.0%),dd265a83-6f97-40df-8993-c84ac96651eb
FRA,250+,ICT,0 (0.0%),4f1066b9-d714-44ac-bf11-15455ede412a
FRA,250+,Manufacturing,0 (0.0%),ba6a6901-334f-4333-8a44-2866eeb7e8f9
GBR,50-249,ICT,0 (0.0%),e32aedd5-feef-4270-84db-f4cd7fab0b97
GBR,50-249,Manufacturing,0 (0.0%),37f875e5-0937-430a-b0ad-8a07f210ff1d
GBR,250+,ICT,3 (10.0%),34b56a51-7d0a-41e3-a605-6852f4a6414a
GBR,250+,Manufacturing,0 (0.0%),67b4a108-fdf3-4e20-b216-f77e0cba3362
ITA,50-249,ICT,0 (0.0%),126ef7a5-e161-48d8-911a-212805250d69
ITA,50-249,Manufacturing,0 (0.0%),e5c01382-71dd-4242-84c8-f61408564fcf
ITA,250+,ICT,0 (0.0%),16c78835-1f71-48dc-b06f-276748da09a7
ITA,250+,Manufacturing,0 (0.0%),967ccc41-6aed-4ae9-9299-f6cb521678b6
JPN,50-249,ICT,0 (0.0%),0d37bc3f-3ca5-400e-b30a-f5243ad01161
JPN,50-249,Manufacturing,0 (0.0%),5c20944b-e195-4025-8d36-9f711b8a2a47
JPN,250+,ICT,0 (0.0%),a22d2b56-c856-41af-ae08-b634b6864468
JPN,250+,Manufacturing,1 (3.3%),0dc06918-9ebb-426d-b543-55dcee8397ed
USA,50-249,ICT,0 (0.0%),0de2ce43-7fd0-42fe-806a-a822dcabc29f
USA,50-249,Manufacturing,0 (0.0%),69cb42cf-5eb7-4ec4-bb07-0856ede3abcf
USA,250+,ICT,0 (0.0%),05e55748-bdd0-428a-b620-026a47afb2d7
USA,250+,Manufacturing,1 (3.3%),79c79429-fc34-451d-8e56-41bfa0173ef4
