Country,Enterprise size,Sector,dimension_id
CAN,50-249,ICT,1c9e253a-ea16-4adf-babe-2695ecd24433
CAN,50-249,Manufacturing,aeff17ad-8771-4bef-a50c-69b3b025c6ce
CAN,250+,ICT,d7701a64-88c1-4aab-a704-c8d5e1ab3a7a
CAN,250+,Manufacturing,b28c61ce-4d61-4abf-aebf-289cfc436b82
DEU,50-249,ICT,f4e70e84-512c-41b3-b523-5b1f4b62c608
DEU,50-249,Manufacturing,8b52e144-f8ff-4ef2-93bb-344e2d711700
DEU,250+,ICT,eb3d91da-7176-48bc-8d1d-83c79a22fe39
DEU,250+,Manufacturing,99f3a0c2-8992-494e-8bf3-a7afa251de7b
FRA,50-249,ICT,699b8c94-7d65-497e-b8cd-59890e2c3c86
FRA,50-249,Manufacturing,fc939e1d-e0ef-4f90-ba13-8fbf19e848f0
FRA,250+,ICT,f3d7229a-0218-4805-aaf2-7a2142c70384
FRA,250+,Manufacturing,a9401428-0fc6-41e2-bf6f-a62b3d464959
GBR,50-249,ICT,e5a5a10e-20b2-4505-af2a-c3e3cfe8bc2b
GBR,50-249,Manufacturing,b032ae04-5cb7-401d-ada0-3d6d5e46b40e
GBR,250+,ICT,a68363a8-2b52-4ce8-af70-94366863c6b0
GBR,250+,Manufacturing,ae576a51-c5d3-4ac9-b601-a83188dd919c
ITA,50-249,ICT,0058abb6-db26-4c24-a17c-fec860826718
ITA,50-249,Manufacturing,1a91f7ef-13a2-40bd-aae1-1634e346babc
ITA,250+,ICT,eafc9af2-baa0-4f1d-ab6f-c7ad0be615c7
ITA,250+,Manufacturing,925c24e0-a5c9-4df7-9abb-7ae4d1bc9e89
JPN,50-249,ICT,901f622d-8129-4ac1-a69f-474a1ffe63d6
JPN,50-249,Manufacturing,6311fd6d-e346-469c-a655-8c585347f77e
JPN,250+,ICT,bdf91368-bfe7-4367-9da8-55df7fae006c
JPN,250+,Manufacturing,e5f200a1-3437-47a4-b903-1c3bd9a37f9b
USA,50-249,ICT,da3142ad-cb5a-44e5-a4aa-62e36cd530b5
USA,50-249,Manufacturing,86042f5b-f72d-4f7b-ae19-94eb6cd642c5
USA,250+,ICT,6cc61fcc-a598-4912-abb4-7b2872a74d29
USA,250+,Manufacturing,14f5ed2d-1a38-4f9b-9164-cc408446823f
